id,media_type,url,version_id
dbc8bcd2-655a-42de-8aa8-3dcb01bb29af,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0992h&txtFormat=amend,bb759f6d-9124-44a6-a8bc-85ba14983169
471b0681-46b0-44d0-a67f-d242e1d7d02c,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0514h&txtFormat=amend,d1516b22-baa0-4f41-a931-d4d299c06f55
664b672c-1ce4-475b-a858-94bbbed2dfc6,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0516s&txtFormat=amend,aca64c7a-3d32-42fb-af32-7197144dcfcc
414dde12-91b6-4bab-adef-456080865453,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0130h&txtFormat=amend,c0adb4e4-2bd5-442e-bb0e-a7cb067af5f9
43453812-e57e-47b9-937d-3196b892dc45,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0582h&txtFormat=amend,cbf65928-e86e-437d-97e5-29ee6572afb2
c78ad465-db08-4bad-ae07-88ac6aacbd95,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2890s&txtFormat=amend,53e7430a-a222-4a01-84c6-43e42188d721
0fc153c4-c5ca-4bf8-822e-9f0ad72a7dce,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1145h&txtFormat=amend,463f95a5-d005-4ebe-bae1-7b018c762b5b
27494dca-89ca-47c7-b4b4-2fe232ed457a,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0292s&txtFormat=amend,35a6373a-1ec5-4901-8183-7eee431a3407
b4014c46-076a-4dfa-a343-f58871ed2fe3,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1037h&txtFormat=amend,4e2c2dee-90cd-4b30-9b4f-ee3294153d36
7475082f-2dc7-49c2-8cce-1d05bff82924,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=660&txtFormat=html,66e0e32b-1ccc-4b39-a1c4-2f02c86125e8
a5008926-8e91-4eae-b342-030dd2f891d9,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-0908h&txtFormat=amend,390045b8-b5b9-4e97-beaf-fac578c41cad
2ceb421c-468b-427f-a72e-ef6ebbafd6b8,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=794&txtFormat=html,278ac8dc-bfa6-4823-a026-84a041043500
65b6c8d4-4c38-4dd2-8c7a-0e73e9580994,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0149h&txtFormat=amend,ffb8c495-3266-4629-95ae-fad1fc2d1b74
bd7935bb-77e8-40d0-8182-b8d49820569f,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1105s&txtFormat=amend,cba106e6-4ff1-4eaf-80ab-a540b5dbf463
27a85c87-70c5-472e-8b92-936fa3547e02,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1203s&txtFormat=amend,00f54aa4-635d-4957-9469-7609c8045711
3cdb8c24-054a-4f86-8f2d-a96bc9379f13,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0320h&txtFormat=amend,3953b0e5-45d4-4a6a-9a48-4f5ded31c2be
96bd9aea-f0e5-490c-ba9c-b1591b2e52ac,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0480h&txtFormat=amend,91fa92be-8736-4e21-9798-f9e369cf4339
350f51ae-9b21-4796-a96a-3358aeb3a5f7,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0786s&txtFormat=amend,6cb04618-c1e6-4440-82f9-2e2698cb695d
0a322121-5e1f-46e3-a0dd-552e58f90194,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0784s&txtFormat=amend,5efa66e6-051e-48b0-8ff7-c998213ba4d8
f2a7fba7-992e-4fd0-8f3f-7e1f925158e3,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0899h&txtFormat=amend,f01a3938-a279-410f-8ea1-d6d69e6676b6
777c560b-4f08-457e-8994-3dfc9a789a1a,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1038s&txtFormat=amend,d4dc9961-806d-4af8-8fb0-e30d70241128
25871303-a499-4155-be24-12b5ae672261,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0913s&txtFormat=amend,8cc363de-6c04-46fe-af0e-d92ac2c096e7
ab4207d7-72dc-4638-81de-4366989ca378,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2844h&txtFormat=amend,45cea364-fe80-46db-880e-5fa242472a34
cf183624-567e-40ce-888f-201920f4e468,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=173&txtFormat=html,db6bc5b5-54e1-4f36-8f32-bb1438bf8c95
62fd44b5-bb0f-4aa5-9d4c-31b939e4b235,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1632e&txtFormat=amend,73a99c51-a5dc-44db-8f29-f0ae7faeed39
4cbbf915-a280-4db9-a430-7dbba10e005f,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1062s&txtFormat=amend,fb53b506-dfb6-499f-81a8-aa6ec80051f2
2edb8059-6953-4680-a94a-c4afd1e8c993,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0270h&txtFormat=amend,3adf17b2-3261-4729-ab19-8370422d3f6a
cb2f182f-3876-4544-a7e1-c903f41e5ecc,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0768s&txtFormat=amend,82112144-1375-415b-90bf-2e937204e246
a53a0d19-86a7-4d43-bca2-07bb9db2f5ea,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1050s&txtFormat=amend,b132109b-d309-43b3-b32d-79ae3106b089
b736ff47-d389-45b9-ad70-dbcb871c2f13,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0721s&txtFormat=amend,a7307071-8e37-4ffe-bc18-efe7d8dce488
28f4bde8-13b4-43e2-8931-f51bcfc5648b,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0702h&txtFormat=amend,5adcccf9-fc38-4a8d-87a9-9001c950d502
bae5ee5e-b974-4167-b6d2-12ae92e7927a,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0322h&txtFormat=amend,9ae49f5d-6f09-40e2-9b4d-cbdc0b354164
016a5bf2-8e9d-4437-8d3a-f9a67400c4ce,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0632s&txtFormat=amend,f51b6546-8833-4d1d-90cf-047c27593133
0f90d774-2ee8-4bf7-9471-f6c2ff529b0b,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0834h&txtFormat=amend,0766759e-c898-4cdb-9c59-2ac4f61db91f
2077520f-d418-48a7-b438-f0da0609e685,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1036s&txtFormat=amend,43bc10d0-ec2b-4b7a-bc21-7c013fdd89a3
403f0fa8-779c-4eff-a540-17d1f39b7d9a,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1627&txtFormat=amend,2b4d6f00-2ff4-4afa-ae83-8440cdb36367
6b260749-66e0-4fba-8c5d-72a68c1d080d,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0306s&txtFormat=amend,95d23635-dd7c-479c-a640-f079e677b256
a74b2b6f-940c-4dd0-8100-0791a23666cd,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1091s&txtFormat=amend,3a069093-9573-4b17-85a1-4010e140a102
20f89e8a-e139-4559-85e8-959760185572,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0758s&txtFormat=amend,75a93007-a38b-4b32-ba16-30adcced59f8
482f6c6f-cdf1-420b-8258-759ec8adbe3d,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1089h&txtFormat=amend,47d66d7e-2ed7-4fda-b461-722f71816fb2
e35b34c7-705d-4430-a22a-e49560d7a884,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1530s&txtFormat=amend,9864169b-a643-41bd-94f1-f31fdd733a27
19b98a49-a1ef-471a-8138-c061d958cd0a,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0358h&txtFormat=amend,a00b8a4d-b235-4760-95e5-e27623e94ee5
