id,vote_event_id,option,voter_name,voter_id,note
faad9518-0269-48f9-b2ef-97d2f5dac312,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Karen E. Ebel,ocd-person/947e2e2b-04eb-4f92-9f83-aef8760517e0,
ea74d9a6-c8dc-4324-ba60-5a776b62ee93,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Tracy Emerick,ocd-person/fb61041a-a20a-409c-988b-cdbcf276b0f2,
cc719e98-dc80-43a9-90cf-34243df1aa87,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Linda C. Harriott-Gathright,ocd-person/1e2b57f6-dbb9-4069-a71b-d40828c80cfa,
9acaf3e2-cc56-4460-938a-06667164110b,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,David O. Huot,ocd-person/1ca469eb-22a1-4c1c-af43-a0a5456f3a4f,
525dd94b-5fe3-46b7-b8ec-09a98587c533,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Martin L. Jack,ocd-person/27e55643-df5b-49aa-8529-082cd786c0f8,
298c580d-9982-4c5b-b572-ccf8d5e9f10e,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Aboul B. Khan,ocd-person/e60aed5e-cbb4-4b27-ab1b-2ce1dd787dac,
64be416d-e466-4b7e-b105-3433b44a968d,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Dennis J. Malloy,ocd-person/d6200a81-3d99-4ff7-93e0-e2f3b49cfd65,
ac150893-796d-40e0-89fd-9b6cfd40f189,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Linda A. Massimilla,ocd-person/c018f667-a248-4b79-b8be-63740191e1ff,
111eba68-0ab1-4d22-a5b8-8cf34dbd839d,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,David E. Milz,ocd-person/ef41a7dd-a84f-47db-b794-2a6c6be48771,
bab76042-8a37-4f5e-bfd4-0310b86e7fb7,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Chris Muns,ocd-person/0dbeb05f-3510-48d3-9918-a929a6069ac2,
f488b72f-6cb3-4ed8-9bd3-6cd44692518b,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Mel Myler,ocd-person/8c5f7a02-e92b-4f64-b698-c178b8fd23bb,
cb793b77-ef17-4486-8ab7-d38fb12149fc,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Skip A. Rollins,ocd-person/31d4d765-be08-4393-8e9a-21444cf8b411,
2fa29169-808a-4880-af06-51819d0bb59b,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,Thomas C. Schamberg,ocd-person/29eeecd3-79b7-489c-b1a5-ace913e619f2,
eb283043-7a2b-4362-870d-b9a96e7c6e0c,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Joe Sweeney,ocd-person/568a287b-89c6-44b7-a8e6-a5188ef7f9bc,
b3af9825-85f4-42c3-9c06-6bc6d72b2658,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,George E. Sykes,ocd-person/1d64c012-42cd-433e-9e51-d449279fe57e,
7323e056-73ab-4a54-a161-a7d91f9e0649,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Linda L. Tanner,ocd-person/950e6cfe-ff6c-49ed-a4c2-1e66e60c6315,
86795ac8-5aa6-4548-a854-b13f9e6d1759,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Suzanne M. Vail,ocd-person/ce985799-268d-4190-b078-955fc63a8c3c,
10d03fff-7e32-4f8b-8e98-3d94a6cc37e8,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Thomas C. Walsh,ocd-person/e325954b-c90e-4b1e-aadb-3f5cc7ec1671,
